PSCT;BandiT
100,1471786;0
100,0966797;0
100,0801926;0
100,0238724;0
100,0543747;0
100,0712967;0
100,0653305;0
100,0812988;0
100,0546417;0
100,0682449;0
100,0067825;0
99,93900299;0
99,92142487;0
99,96859741;0
99,9831543;0
99,98118591;0
99,93511963;0
99,96822357;0
99,89253998;0
99,91726685;0
99,84757996;0
99,79781342;0
99,8188324;0
99,85101318;0
99,8595047;0
99,82987213;0
99,82366943;0
99,7562561;0
99,69242096;0
99,75994873;0
99,72673035;0
99,84877014;0
99,77239227;0
99,77134705;0
99,73665619;0
99,70804596;0
99,72525024;0
99,68291473;0
99,72968292;0
99,68792725;0
99,63303375;0
99,58750153;0
99,50572205;0
99,57237244;0
99,59732819;0
99,56336975;0
99,53651428;0
99,53504944;0
99,53102875;0
99,49190521;0
99,45842743;0
99,51405334;0
99,44544983;0
99,4497757;0
99,43987274;0
99,38505554;0
99,5286026;0
99,48950195;0
99,48719025;0
99,40901947;0
99,42046356;0
99,41027069;0
99,39704895;0
99,22263336;0
99,30935669;0
99,34111023;0
99,38226318;0
99,40870667;0
99,32105255;0
99,35946655;0
99,33392334;0
99,27854156;0
99,30281067;0
99,25440216;0
99,27435303;0
99,32176208;0
99,34495544;0
99,27957916;0
99,32645416;0
99,24077606;0
99,1676178;0
99,20157623;0
99,1943512;0
99,19297028;0
99,24977875;0
99,17446899;0
99,18932343;0
99,14147949;0
99,16151428;0
99,17823029;0
99,15451813;0
99,1124649;0
99,10852814;0
99,10111237;0
99,13614655;0
99,12665558;0
99,0916748;0
99,1290741;0
99,08911133;0
99,04230499;0
99,04273224;0
99,09746552;0
99,06610107;0
98,98435974;0
99,01075745;0
99,01794434;0
99,06256104;0
98,97432709;0
98,99539185;0
98,95820618;0
98,9934082;0
98,97810364;0
98,98563385;0
98,93724823;0
99,01136017;0
99,00141907;0
99,06768036;0
99,10414124;0
99,1364975;0
99,06661224;0
99,10314178;0
99,1471405;0
99,14372253;0
99,11022186;0
99,0630722;0
99,10974884;0
99,12528992;0
99,23149109;0
99,28116608;0
99,36329651;0
99,33786011;0
99,29075623;0
99,34757233;0
99,40910339;0
99,42747498;0
99,5110321;0
99,63617706;0
99,65055084;0
99,72637177;0
99,78714752;0
99,86112213;0
99,93223572;0
100,0959625;0
100,1729889;0
100,304924;0
100,3969574;0
100,4016418;0
100,4586868;0
100,6719055;0
100,6914368;0
100,8427734;0
101,0095367;0
101,1929855;0
101,2864838;0
101,4046707;0
101,6311951;0
101,8134155;0
101,987999;0
102,1670532;0
102,4660568;0
102,6614532;0
102,8986206;0
103,1165314;0
103,3570328;0
103,6053543;0
103,843132;0
104,1097717;0
104,3769073;0
104,6935043;0
104,9882431;0
105,1771851;0
105,4227066;0
105,7380981;0
106,0779037;0
106,3759537;0
106,7011261;0
107,0387115;0
107,4342041;0
107,8047562;0
108,107399;0
108,5026932;0
108,9354172;0
109,3292084;0
109,7909088;0
110,144577;0
110,6426468;0
110,9866638;0
111,4273224;0
111,8241348;0
112,2542648;0
112,6630707;0
113,0985184;0
113,5312042;0
114,0458984;0
114,5213852;0
114,9309616;0
115,4750671;0
115,923317;0
116,3568802;0
116,8547058;0
117,3396835;0
117,7959366;0
118,2170715;0
118,6977005;0
119,2237015;0
119,7316895;0
120,22155;0
120,6873627;0
121,1590042;0
121,6942749;0
122,2888107;0
122,8014526;0
123,3730164;0
123,8388748;0
124,4503708;0
124,8403549;0
125,3338089;0
125,863739;0
126,4006882;0
126,9661255;0
127,4808578;0
128,0822754;0
128,6118164;0
129,1527252;0
129,7658844;0
130,3024139;0
130,908844;0
131,437439;0
131,9969482;0
132,5354919;0
133,0924072;0
133,6144562;0
134,1340485;0
134,7773895;0
135,4684601;0
135,9813995;0
136,5710907;0
137,0676575;0
137,7117157;0
138,3072052;0
138,8122101;0
139,4031525;0
140,0322418;0
140,6854553;0
141,2273102;0
141,9564056;0
142,4930267;0
143,091568;0
143,614502;0
144,2658691;0
144,8225403;0
145,3540192;0
146,0099182;0
146,5979462;0
147,2242432;0
147,8139343;0
148,4294434;0
149,0155334;0
149,7879791;0
150,4148102;0
151,0332794;0
151,5610962;0
152,3164978;0
152,8420563;0
153,4960175;0
154,0657349;0
154,7532654;0
155,3267517;0
156,0602722;0
156,6558228;0
157,2592163;0
157,9318237;0
158,4812164;0
159,0388641;0
159,7139282;0
160,414093;0
161,0571747;0
161,7038422;0
162,3455048;0
162,9556274;0
163,5920105;0
164,3044739;0
164,8894043;0
165,6123199;0
166,1460114;0
166,8751373;0
167,5984955;0
168,142395;0
168,7466125;0
169,3930969;0
170,0155945;0
170,7828674;0
171,340271;0
172,0726624;0
172,6255798;0
173,2568665;0
174,006134;0
174,6913147;0
175,253479;0
176,0502777;0
176,7092285;0
177,3062134;0
177,9382172;0
178,4488525;0
179,2421265;0
179,9164429;0
180,6019745;0
181,2541656;0
181,7998352;0
182,5102234;0
183,1407013;0
183,7720947;0
184,465683;0
185,135437;0
185,7793732;0
186,4325409;0
187,0587616;0
187,7383728;0
188,3379822;0
188,9921112;0
189,6277618;0
190,3021851;0
190,9849091;0
191,6333008;0
192,2715454;0
192,9980316;0
193,5885773;0
194,1833649;0
194,9139557;0
195,5309448;0
196,2321014;0
196,9694977;0
197,6148834;0
198,2838745;0
198,769516;0
199,4031982;0
200,0231934;0
200,7580109;0
201,3968201;0
202,0857849;0
202,7814026;0
203,3677826;0
204,0462341;0
204,6605225;0
205,3235168;0
205,9781647;0
206,6253815;0
207,2225647;0
207,8966522;0
208,4558105;0
209,1338806;0
209,7343292;0
210,4686584;0
211,1405945;0
211,87323;0
212,4289703;0
213,0625153;0
213,7946167;0
214,4484558;0
215,0547638;0
215,6348419;0
216,3134918;0
216,8836365;0
217,5802307;0
218,2081909;0
218,8568268;0
219,3523865;0
220,0339203;0
220,7336578;0
221,3607941;0
221,9751892;0
222,6414642;0
223,2705383;0
223,9517822;0
224,5575562;0
225,2143707;0
225,8487854;0
226,5489502;0
227,169342;0
227,7720642;0
228,3929596;0
228,9764252;0
229,5981445;0
230,2252655;0
230,8673706;0
231,4558563;0
232,1012573;0
232,7229614;0
233,3419037;0
234,0025177;0
234,5799255;0
235,2221985;0
235,8514099;0
236,468689;0
237,0541534;0
237,7280731;0
238,4028473;0
238,9740143;0
239,6572266;0
240,2634888;0
240,8668823;0
241,568512;0
242,132019;0
242,7068481;0
