PSCT;BandiT
140,1109009;0
140,5661469;0
141,2023926;0
141,8730927;0
142,378418;0
143,0395813;0
143,5343933;0
144,0775452;0
144,6520996;0
145,1002655;0
145,6060028;0
145,9279175;0
146,2272034;0
146,3764801;0
146,5501709;0
146,523819;0
146,4997101;0
146,4709625;0
146,4199829;0
146,3174438;0
146,2218628;0
146,1057281;0
146,0389252;0
145,9071198;0
145,8675079;0
145,8034821;0
145,7957611;0
145,7144165;0
145,6813049;0
145,6356506;0
145,60466;0
145,5325317;0
145,5835266;0
145,519989;0
145,5613861;0
145,5686188;0
145,6036224;0
145,6204071;0
145,5819092;0
145,5851593;0
145,608963;0
145,5902252;0
145,6019287;0
145,6689758;0
145,6738892;0
145,6899109;0
145,7219086;0
145,7032318;0
145,6855164;0
145,6738281;0
145,7447968;0
145,6205139;0
145,6285858;0
145,7019348;0
145,7065125;0
145,7218933;0
145,6175842;0
145,653183;0
145,6425018;0
145,6342468;0
145,6722412;0
145,6999664;0
145,6986237;0
145,730072;0
145,7498169;0
145,7371368;0
145,7086639;0
145,720108;0
145,6523743;0
145,6584625;0
145,6562347;0
145,5710754;0
145,5357208;0
145,5719147;0
145,59758;0
145,5108032;0
145,4447174;0
145,4067383;0
145,378418;0
145,449234;0
145,4287415;0
145,3869019;0
145,3631439;0
145,3588104;0
145,2909698;0
145,2360077;0
145,3134766;0
145,2815704;0
145,1906891;0
145,1740265;0
145,1174774;0
145,0343781;0
145,0809784;0
145,0427551;0
145,0186005;0
144,9957733;0
144,9046326;0
144,9182129;0
144,9617615;0
144,8978882;0
144,7864075;0
144,772934;0
144,7746429;0
144,6821289;0
144,6489105;0
144,6169128;0
144,5016174;0
144,4697113;0
144,4288483;0
144,4083405;0
144,3443451;0
144,1550446;0
144,0392456;0
143,7056122;0
143,506012;0
143,1982117;0
143,0043182;0
142,7758636;0
142,6244049;0
142,4986572;0
142,3050079;0
142,1047974;0
141,9779663;0
141,7828827;0
141,5276947;0
141,5319672;0
141,395813;0
141,3018951;0
141,1783142;0
140,9689331;0
140,7655334;0
140,6770325;0
